field,log_citations,cited_by_count
Decision Sciences,11.400473195498646,89363
Social Sciences,10.560411522938548,38576
Computer Science,10.509223276085104,36651
Medicine,10.214861737244696,27305
Decision Sciences,10.172789235831422,26180
Computer Science,9.989298208949238,21791
Computer Science,9.96843224117651,21341
"Biochemistry, Genetics and Molecular Biology",9.888424674859085,19700
Computer Science,9.851404472665903,18984
"Economics, Econometrics and Finance",9.818474178209172,18369
Computer Science,9.753826777981722,17219
"Biochemistry, Genetics and Molecular Biology",9.627536402960043,15176
Physics and Astronomy,9.550875771331766,14056
Physics and Astronomy,9.519881778780857,13627
Medicine,9.516721521860449,13584
Decision Sciences,9.488653694423864,13208
Decision Sciences,9.474779405697564,13026
"Biochemistry, Genetics and Molecular Biology",9.471164990258082,12979
Physics and Astronomy,9.42424134192346,12384
Decision Sciences,9.327767788852148,11245
"Biochemistry, Genetics and Molecular Biology",9.307376334487778,11018
"Biochemistry, Genetics and Molecular Biology",9.299266581170585,10929
"Biochemistry, Genetics and Molecular Biology",9.285726098882073,10782
Medicine,9.264260213965612,10553
Physics and Astronomy,9.264260213965612,10553
Decision Sciences,9.262078567380597,10530
"Biochemistry, Genetics and Molecular Biology",9.254165851516213,10447
Medicine,9.240578555036793,10306
"Biochemistry, Genetics and Molecular Biology",9.237469039364436,10274
"Biochemistry, Genetics and Molecular Biology",9.229260256828692,10190
Medicine,9.224341891611996,10140
Decision Sciences,9.221774749601844,10114
"Biochemistry, Genetics and Molecular Biology",9.20623194393164,9958
Social Sciences,9.198874893866904,9885
"Biochemistry, Genetics and Molecular Biology",9.188912424562565,9787
"Biochemistry, Genetics and Molecular Biology",9.162409838218633,9531
Physics and Astronomy,9.156412029950626,9474
"Biochemistry, Genetics and Molecular Biology",9.156306483483696,9473
"Business, Management and Accounting",9.149740749847252,9411
"Biochemistry, Genetics and Molecular Biology",9.09560269450576,8915
Physics and Astronomy,9.05963375455148,8600
"Biochemistry, Genetics and Molecular Biology",9.032767522204432,8372
"Biochemistry, Genetics and Molecular Biology",9.017726025696795,8247
"Economics, Econometrics and Finance",8.998878325435811,8093
"Business, Management and Accounting",8.98281222234415,7964
Chemistry,8.978282203272398,7928
Environmental Science,8.957381735582787,7764
Medicine,8.949624747754216,7704
"Biochemistry, Genetics and Molecular Biology",8.948585921534317,7696
Medicine,8.945462952177666,7672
Earth and Planetary Sciences,8.898228985601227,7318
Physics and Astronomy,8.896861744480391,7308
Materials Science,8.889997357284841,7258
Physics and Astronomy,8.881697406469304,7198
Medicine,8.881419551507804,7196
Medicine,8.881141619321468,7194
Computer Science,8.8698199525084,7113
Computer Science,8.84404789894249,6932
Physics and Astronomy,8.836228571526014,6878
Medicine,8.81358720447004,6724
Medicine,8.80956425335415,6697
Medicine,8.808369153122275,6689
Engineering,8.793915423631676,6593
Medicine,8.775858314797526,6475
Medicine,8.767796255626598,6423
Health Professions,8.76280248744611,6391
Medicine,8.74798740166097,6297
Medicine,8.73294952429643,6203
Physics and Astronomy,8.731820582962108,6196
Medicine,8.695004592732307,5972
Medicine,8.677780256064185,5870
Medicine,8.666302614004078,5803
"Biochemistry, Genetics and Molecular Biology",8.66406026722579,5790
Health Professions,8.63994165667529,5652
Medicine,8.627123250788433,5580
"Biochemistry, Genetics and Molecular Biology",8.62622695244036,5575
Environmental Science,8.622093601241607,5552
"Biochemistry, Genetics and Molecular Biology",8.62191350218664,5551
Medicine,8.61993026886735,5540
Neuroscience,8.615408238913192,5515
Medicine,8.602269363771356,5443
Medicine,8.593413217327646,5395
Veterinary,8.591743922680534,5386
Medicine,8.588210678651517,5367
"Biochemistry, Genetics and Molecular Biology",8.575084669832014,5297
Neuroscience,8.568076401730806,5260
Physics and Astronomy,8.552174160311482,5177
Physics and Astronomy,8.54752839121231,5153
Medicine,8.53660358493606,5097
Medicine,8.517393171418904,5000
Medicine,8.516192691082654,4994
Medicine,8.495765244002618,4893
"Biochemistry, Genetics and Molecular Biology",8.48920515487607,4861
Materials Science,8.487352349405215,4852
Medicine,8.478660241699453,4810
Decision Sciences,8.471149252914831,4774
Environmental Science,8.469262657658687,4765
Decision Sciences,8.467582690862903,4757
"Biochemistry, Genetics and Molecular Biology",8.46611040118692,4750
"Economics, Econometrics and Finance",8.452334619067742,4685
Environmental Science,8.443761913330354,4645
"Biochemistry, Genetics and Molecular Biology",8.442254104751743,4638
"Biochemistry, Genetics and Molecular Biology",8.440959885416648,4632
"Biochemistry, Genetics and Molecular Biology",8.439447842791385,4625
Medicine,8.430981494597171,4586
Medicine,8.428143374582726,4573
"Biochemistry, Genetics and Molecular Biology",8.4252971767117,4560
Materials Science,8.405591014834934,4471
Medicine,8.404248432400102,4465
"Biochemistry, Genetics and Molecular Biology",8.39502555744203,4424
Nursing,8.393216011596527,4416
Environmental Science,8.39049553837028,4404
Computer Science,8.378390788535778,4351
Medicine,8.368925174747135,4310
Medicine,8.366370301681654,4299
Medicine,8.36264243156764,4283
Medicine,8.336869637284956,4174
Environmental Science,8.332308352219117,4155
Mathematics,8.330381569349418,4147
Mathematics,8.313607139317558,4078
Engineering,8.31090675716845,4067
Medicine,8.299783171949787,4022
Decision Sciences,8.294049640102028,3999
"Biochemistry, Genetics and Molecular Biology",8.293299358711323,3996
Social Sciences,8.285008895449879,3963
Medicine,8.28121766128665,3948
"Biochemistry, Genetics and Molecular Biology",8.279189777195004,3940
Decision Sciences,8.270013062273787,3904
"Business, Management and Accounting",8.266678443305896,3891
"Biochemistry, Genetics and Molecular Biology",8.266678443305896,3891
Mathematics,8.265650165580329,3887
Medicine,8.25582842728183,3849
Health Professions,8.253748343328501,3841
Physics and Astronomy,8.246958032568177,3815
Mathematics,8.24143968982973,3794
Medicine,8.235360643753348,3771
Decision Sciences,8.225770799348734,3735
Medicine,8.225235324101668,3733
Energy,8.216628493133443,3701
Medicine,8.21554741194707,3697
Medicine,8.211482916445066,3682
Social Sciences,8.207401833376355,3667
"Biochemistry, Genetics and Molecular Biology",8.20631072579402,3663
Materials Science,8.204398418149381,3656
Medicine,8.204398418149381,3656
"Biochemistry, Genetics and Molecular Biology",8.202482446576537,3649
Materials Science,8.19891444498699,3636
Medicine,8.19533366716287,3623
Neuroscience,8.19533366716287,3623
Physics and Astronomy,8.193123721512068,3615
Medicine,8.18060094759445,3570
"Biochemistry, Genetics and Molecular Biology",8.176391596633795,3555
Medicine,8.17188200612782,3539
Physics and Astronomy,8.17131687471973,3537
"Business, Management and Accounting",8.16735198705607,3523
Medicine,8.15908865466791,3494
Physics and Astronomy,8.158229916959494,3491
Computer Science,8.15478757276852,3479
"Biochemistry, Genetics and Molecular Biology",8.151909872940905,3469
Physics and Astronomy,8.151909872940905,3469
"Biochemistry, Genetics and Molecular Biology",8.15162164696975,3468
Medicine,8.150756470275551,3465
Computer Science,8.148445666243235,3457
Decision Sciences,8.146998697389993,3452
Medicine,8.146998697389993,3452
Medicine,8.136518252115291,3416
Materials Science,8.134760782418645,3410
Agricultural and Biological Sciences,8.132412674500905,3402
Decision Sciences,8.125039097367745,3377
Medicine,8.117610746466228,3352
Medicine,8.114623886420098,3342
Environmental Science,8.105609402299896,3312
Physics and Astronomy,8.10349427838097,3305
"Biochemistry, Genetics and Molecular Biology",8.099857910737585,3293
Computer Science,8.099554282376364,3292
Social Sciences,8.094988759303774,3277
Energy,8.089175678837561,3258
Medicine,8.085794701281568,3247
"Biochemistry, Genetics and Molecular Biology",8.08394570229562,3241
"Biochemistry, Genetics and Molecular Biology",8.083637203141548,3240
Computer Science,8.083637203141548,3240
Decision Sciences,8.081475040137052,3233
Agricultural and Biological Sciences,8.080856419640986,3231
Computer Science,8.07961802938984,3227
Health Professions,8.078998258685154,3225
Medicine,8.078688229229872,3224
Social Sciences,8.070593539949519,3198
Chemistry,8.068089626278244,3190
Medicine,8.059908334578276,3164
Environmental Science,8.056426767522984,3153
Medicine,8.051022208190679,3136
"Business, Management and Accounting",8.046549357283078,3122
Physics and Astronomy,8.03689677268507,3092
Dentistry,8.036573409707312,3091
Medicine,8.036249942132116,3090
Medicine,8.03073492409854,3073
Decision Sciences,8.030409562130485,3072
Mathematics,8.030084094267563,3071
Medicine,8.027150106832774,3062
Earth and Planetary Sciences,8.022240916806537,3047
Computer Science,8.02059914989697,3042
"Biochemistry, Genetics and Molecular Biology",8.012349639327795,3017
"Biochemistry, Genetics and Molecular Biology",8.010027528481734,3010
Engineering,8.00836557031292,3005
Environmental Science,8.007700012884026,3003
Decision Sciences,8.00736706798333,3002
Engineering,8.003697339094368,2991
Engineering,8.003363058629947,2990
"Biochemistry, Genetics and Molecular Biology",8.00202481821611,2986
Medicine,8.000014093678072,2980
Medicine,7.998671361015776,2976
"Biochemistry, Genetics and Molecular Biology",7.994969522697877,2965
Materials Science,7.993619994827744,2961
"Economics, Econometrics and Finance",7.990238185720363,2951
Chemistry,7.989560449333865,2949
Medicine,7.988882253309227,2947
Medicine,7.987864096085687,2944
Environmental Science,7.983098940710892,2930
Decision Sciences,7.982416346827733,2928
Medicine,7.978996370854115,2918
Medicine,7.976251943745623,2910
Engineering,7.974532844130228,2905
Medicine,7.974532844130228,2905
Psychology,7.971085753505607,2895
Engineering,7.966239776559467,2881
Medicine,7.962415680121064,2870
"Biochemistry, Genetics and Molecular Biology",7.961718815981363,2868
"Biochemistry, Genetics and Molecular Biology",7.960323629148839,2864
Earth and Planetary Sciences,7.951207156472972,2838
"Biochemistry, Genetics and Molecular Biology",7.938802248154481,2803
Computer Science,7.933438387627489,2788
Materials Science,7.933079771880415,2787
Psychology,7.92588031673756,2767
Engineering,7.92588031673756,2767
Nursing,7.9247959139564355,2764
"Biochemistry, Genetics and Molecular Biology",7.923710333969238,2761
Decision Sciences,7.923710333969238,2761
Medicine,7.9229859587111955,2759
"Biochemistry, Genetics and Molecular Biology",7.922261058353247,2757
Social Sciences,7.922261058353247,2757
Medicine,7.921535632133549,2755
Earth and Planetary Sciences,7.921535632133549,2755
Medicine,7.919719760924575,2750
Medicine,7.918264686095274,2746
Veterinary,7.914252278742441,2735
Medicine,7.912423121473705,2730
Medicine,7.912056888179006,2729
Physics and Astronomy,7.910957382845589,2726
Medicine,7.910590612256477,2725
Medicine,7.909856667269403,2723
"Biochemistry, Genetics and Molecular Biology",7.908754738783246,2720
Medicine,7.908387159290043,2719
Medicine,7.903965634032166,2707
Medicine,7.901377353792616,2700
