field,records
Agricultural and Biological Sciences,23134
Arts and Humanities,38462
"Biochemistry, Genetics and Molecular Biology",79319
"Business, Management and Accounting",22168
Chemical Engineering,3455
Chemistry,17608
Computer Science,34782
Decision Sciences,9338
Dentistry,4569
Earth and Planetary Sciences,30887
"Economics, Econometrics and Finance",25700
Energy,6934
Engineering,114972
Environmental Science,53828
Health Professions,27327
Immunology and Microbiology,15912
Materials Science,34167
Mathematics,15903
Medicine,267016
Neuroscience,34615
Nursing,4762
"Pharmacology, Toxicology and Pharmaceutics",2842
Physics and Astronomy,63522
Psychology,44425
Social Sciences,113056
Veterinary,2954
unclassified,1168
