field,publication_year,records,open_access_share,median_percentile
Agricultural and Biological Sciences,2015,1863,0.7090713902308106,49.5
Agricultural and Biological Sciences,2016,2022,0.7566765578635015,50.3
Agricultural and Biological Sciences,2017,2166,0.7668513388734995,49.6
Agricultural and Biological Sciences,2018,2287,0.790118058592042,49.8
Agricultural and Biological Sciences,2019,2378,0.7825904121110177,50.4
Agricultural and Biological Sciences,2020,2501,0.8260695721711315,50.0
Agricultural and Biological Sciences,2021,2660,0.8090225563909774,50.3
Agricultural and Biological Sciences,2022,2382,0.8350125944584383,51.4
Agricultural and Biological Sciences,2023,2427,0.8796868562010712,49.1
Agricultural and Biological Sciences,2024,2448,0.8794934640522876,47.2
Arts and Humanities,2015,3514,0.31986340352874215,51.3
Arts and Humanities,2016,3972,0.36127895266868076,51.7
Arts and Humanities,2017,3886,0.40375707668553784,53.0
Arts and Humanities,2018,3974,0.43910417715148464,51.0
Arts and Humanities,2019,4110,0.43990267639902675,51.1
Arts and Humanities,2020,3906,0.4918074756784434,51.5
Arts and Humanities,2021,3938,0.5507872016251905,55.0
Arts and Humanities,2022,3696,0.5946969696969697,25.7
Arts and Humanities,2023,3776,0.661281779661017,28.1
Arts and Humanities,2024,3690,0.6831978319783197,32.4
"Biochemistry, Genetics and Molecular Biology",2015,7555,0.7268034414295169,50.0
"Biochemistry, Genetics and Molecular Biology",2016,7570,0.7756935270805813,50.1
"Biochemistry, Genetics and Molecular Biology",2017,7796,0.8002821959979477,49.9
"Biochemistry, Genetics and Molecular Biology",2018,8098,0.8076068164979007,49.8
"Biochemistry, Genetics and Molecular Biology",2019,8218,0.8011681674373327,49.8
"Biochemistry, Genetics and Molecular Biology",2020,8346,0.83261442607237,49.8
"Biochemistry, Genetics and Molecular Biology",2021,8391,0.8499582886425933,49.6
"Biochemistry, Genetics and Molecular Biology",2022,7877,0.8316618001777326,49.8
"Biochemistry, Genetics and Molecular Biology",2023,7605,0.8749506903353057,51.7
"Biochemistry, Genetics and Molecular Biology",2024,7863,0.8678621391326465,47.6
"Business, Management and Accounting",2015,1739,0.5094882116158712,50.3
"Business, Management and Accounting",2016,1739,0.5882691201840138,50.2
"Business, Management and Accounting",2017,1903,0.6542301629006831,50.2
"Business, Management and Accounting",2018,2008,0.672808764940239,50.4
"Business, Management and Accounting",2019,2204,0.6392921960072595,49.9
"Business, Management and Accounting",2020,2357,0.6474331777683496,49.7
"Business, Management and Accounting",2021,2392,0.697742474916388,49.6
"Business, Management and Accounting",2022,2487,0.7503015681544029,49.6
"Business, Management and Accounting",2023,2666,0.794073518379595,51.2
"Business, Management and Accounting",2024,2673,0.7938645716423495,51.9
Chemical Engineering,2015,305,0.4786885245901639,50.2
Chemical Engineering,2016,320,0.534375,50.3
Chemical Engineering,2017,354,0.6440677966101694,50.0
Chemical Engineering,2018,351,0.6410256410256411,50.1
Chemical Engineering,2019,306,0.6535947712418301,50.5
Chemical Engineering,2020,407,0.6560196560196561,51.4
Chemical Engineering,2021,351,0.6552706552706553,49.9
Chemical Engineering,2022,312,0.8044871794871795,50.0
Chemical Engineering,2023,338,0.757396449704142,50.9
Chemical Engineering,2024,411,0.7785888077858881,53.2
Chemistry,2015,2063,0.4667959282598158,49.0
