institution,peer_group,records,median_percentile,mean_fwci_style_ratio,open_access_share,international_share,top10_share,is_uea
Cardiff University,Russell Group,36865,50.1,1.0450483656584837,0.7383697273836973,0.5595551335955513,0.09947104299471043,False
Durham University,Russell Group,26325,49.0,0.9393291927825261,0.8490028490028491,0.5815384615384616,0.09546058879392212,False
Imperial College London,Russell Group,90383,55.4,1.2562651826117743,0.7497316973324629,0.6869101490324508,0.1315623513271301,False
King's College London,Russell Group,70330,52.3,1.1050684629603298,0.7649793829091426,0.5977534480307124,0.1131807194653775,False
London School of Economics and Political Science,Russell Group,14682,55.9,1.2476779049175861,0.7569813376924125,0.5087862689006948,0.1365617763247514,False
Newcastle University,Russell Group,37529,51.1,1.0407189373551122,0.7143275866663114,0.5855205307895228,0.1021609954968158,False
Queen Mary University of London,Russell Group,35113,52.4,1.1686180047275938,0.725714122974397,0.6371714179933358,0.12428445305157634,False
Queen's University Belfast,Russell Group,25700,50.3,1.0063163424124515,0.7900389105058365,0.6414785992217898,0.09750972762645914,False
University College London,Russell Group,148101,52.4,1.183964301388917,0.7833370470152126,0.6308262604573905,0.12203833870129169,False
University of Birmingham,Russell Group,50122,51.9,1.1161184110769722,0.7795977814133515,0.5811619648058737,0.10825585571206257,False
University of Bristol,Russell Group,46654,51.7,1.118251875509067,0.8295323016247267,0.5469841814206713,0.10346379731641446,False
University of Cambridge,Russell Group,98417,55.8,1.3256203196602212,0.7769186217828221,0.665128991942449,0.13990469126268837,False
University of East Anglia,UEA comparator,17551,51.6,1.1449823371887642,0.7793857899834767,0.5485157540880862,0.10666058914021993,True
University of Edinburgh,Russell Group,63306,51.6,1.0940363630619532,0.8355132214955928,0.5940195242157141,0.10973683379142578,False
University of Exeter,Russell Group,34669,54.4,1.1464233176613112,0.7943119213129886,0.6035651446537252,0.12212639533877527,False
University of Glasgow,Russell Group,45241,48.9,1.1088320992020513,0.8311045290776066,0.5812647819455803,0.10565637364337659,False
University of Leeds,Russell Group,47202,50.5,0.9744185839583068,0.6953095207830177,0.5663531206304817,0.09988983517647557,False
University of Liverpool,Russell Group,48463,47.4,0.9600858180467574,0.6927759321544271,0.5995501722963911,0.0925654623114541,False
University of Manchester,Russell Group,72478,51.1,1.063699343248986,0.7846518943679461,0.5875576036866359,0.10361764949363945,False
University of Nottingham,Russell Group,46555,49.5,0.9642080979486628,0.8152292986789819,0.5628181720545591,0.09345934915691118,False
University of Oxford,Russell Group,120938,55.7,1.3168438704129388,0.75813226611983,0.6531363177826655,0.13632605136516232,False
University of Sheffield,Russell Group,42493,51.5,1.0124812086696633,0.6972913185701174,0.5375002941660979,0.09610994752076812,False
University of Southampton,Russell Group,44361,51.1,1.0675559838596966,0.7413268411442483,0.6154279660061766,0.10290570546200492,False
University of Warwick,Russell Group,36350,51.1,1.0245545804676754,0.6996698762035763,0.5649793672627236,0.09664374140302613,False
University of York,Russell Group,25059,51.0,1.0643726006624368,0.7429266930045093,0.5498623249132049,0.09258150764196496,False
