institution,peer_group,publication_year,records,median_percentile,mean_fwci_style_ratio,top10_share,open_access_share,international_share,is_uea
Cardiff University,Russell Group,2015,2969,52.5,1.1867002357696195,0.11148534860222296,0.6082856180532166,0.5011788480970023,False
Cardiff University,Russell Group,2016,3434,50.4,1.0971907396622016,0.09988351776354105,0.6362842166569598,0.5032032615026208,False
Cardiff University,Russell Group,2017,3572,50.3,1.0788980963045913,0.0977043673012318,0.6598544232922733,0.5179171332586786,False
Cardiff University,Russell Group,2018,3696,50.0,1.0692794913419914,0.10064935064935066,0.6893939393939394,0.5438311688311688,False
Cardiff University,Russell Group,2019,3739,50.2,1.0840842471248997,0.10912008558438085,0.6726397432468575,0.5528216100561647,False
Cardiff University,Russell Group,2020,3996,49.7,1.0595805805805805,0.09534534534534535,0.7542542542542543,0.5895895895895896,False
Cardiff University,Russell Group,2021,4028,49.5,0.9711261171797417,0.09880834160873883,0.7728401191658392,0.5851539225422046,False
Cardiff University,Russell Group,2022,3817,49.8,1.0324563793555148,0.09588682211160597,0.8158239455069426,0.5884202253078333,False
Cardiff University,Russell Group,2023,3799,50.3,0.9847122927086075,0.09423532508554883,0.8562779678862859,0.5872598052118979,False
Cardiff University,Russell Group,2024,3815,47.8,0.9299559633027523,0.0946264744429882,0.8689384010484927,0.601572739187418,False
Durham University,Russell Group,2015,2548,49.8,0.938778649921507,0.10361067503924647,0.7668759811616954,0.5153061224489796,False
Durham University,Russell Group,2016,2544,49.6,0.8911533018867924,0.09433962264150944,0.800314465408805,0.5420597484276729,False
Durham University,Russell Group,2017,2408,49.9,0.9314090531561462,0.08762458471760798,0.8276578073089701,0.5506644518272426,False
Durham University,Russell Group,2018,2539,47.9,0.9506053564395431,0.08979913351713273,0.8345805435210712,0.5620322961795983,False
Durham University,Russell Group,2019,2572,50.2,0.8891570762052876,0.0952566096423017,0.8444790046656299,0.578149300155521,False
Durham University,Russell Group,2020,2620,48.6,0.9821885496183206,0.10305343511450382,0.8683206106870229,0.6038167938931298,False
Durham University,Russell Group,2021,2644,48.0,0.8855015128593041,0.09341906202723146,0.8672465960665658,0.6085476550680786,False
Durham University,Russell Group,2022,2685,48.4,1.0425154562383612,0.09422718808193668,0.8715083798882681,0.605586592178771,False
Durham University,Russell Group,2023,2918,50.6,0.9618989033584646,0.10178204249485949,0.8886223440712817,0.6093214530500343,False
Durham University,Russell Group,2024,2847,47.8,0.9149392342817,0.09062170706006323,0.9044608359676852,0.6259220231822972,False
Imperial College London,Russell Group,2015,7462,54.0,1.2165261324041814,0.12248726882873225,0.6400428839453229,0.6345483784508175,False
Imperial College London,Russell Group,2016,7595,54.1,1.2417806451612905,0.12310730743910467,0.6859776168531929,0.6459512837393022,False
Imperial College London,Russell Group,2017,8264,54.4,1.2023545498547918,0.12645208131655372,0.7083736689254598,0.6560987415295256,False
Imperial College London,Russell Group,2018,8304,55.0,1.1880763487475916,0.1295761078998073,0.718087668593449,0.6693159922928709,False
Imperial College London,Russell Group,2019,8710,55.1,1.2945111366245694,0.1322617680826636,0.7269804822043628,0.6845005740528128,False
Imperial College London,Russell Group,2020,9906,56.0,1.374753381788815,0.1374924288310115,0.7597415707651928,0.6976579850595599,False
Imperial College London,Russell Group,2021,10607,55.8,1.2199732252286226,0.13113981333081928,0.7644951447157537,0.698500989912322,False
Imperial College London,Russell Group,2022,9860,57.7,1.2885565922920892,0.1385395537525355,0.7976673427991886,0.7099391480730223,False
Imperial College London,Russell Group,2023,9681,55.6,1.2363245532486313,0.13469682883999587,0.8308026030368764,0.7116000413180457,False
Imperial College London,Russell Group,2024,9994,56.0,1.2733789273564138,0.13468080848509106,0.8089853912347409,0.7297378427056234,False
King's College London,Russell Group,2015,5505,53.7,1.0512824704813806,0.11698455949137149,0.6079927338782924,0.542960944595822,False
King's College London,Russell Group,2016,5840,52.2,1.1287676369863013,0.11506849315068493,0.7217465753424658,0.5496575342465754,False
King's College London,Russell Group,2017,6025,53.1,1.0649439004149377,0.11817427385892117,0.7575103734439834,0.5634854771784232,False
King's College London,Russell Group,2018,6316,52.0,1.2112678910702976,0.11320455984800507,0.7482583913869537,0.5813806206459785,False
King's College London,Russell Group,2019,7178,52.0,1.0645904151574255,0.11131234327110616,0.7205349679576484,0.5940373363053776,False
King's College London,Russell Group,2020,7835,52.9,1.1295578813018505,0.11703892788768347,0.7481812380344608,0.6123803446075303,False
King's College London,Russell Group,2021,8162,53.3,1.1102985787797108,0.11504533202646411,0.7880421465327125,0.617863268806665,False
King's College London,Russell Group,2022,7532,51.7,1.1238454593733405,0.11232076473712162,0.8161178969729156,0.613781200212427,False
King's College London,Russell Group,2023,7887,51.0,1.103947635349309,0.10764549258273108,0.8328895651071383,0.6231773804995562,False
King's College London,Russell Group,2024,8050,51.9,1.0618490683229813,0.10770186335403727,0.8406211180124223,0.6373913043478261,False
London School of Economics and Political Science,Russell Group,2015,1266,55.849999999999994,1.2944873617693522,0.146129541864139,0.5995260663507109,0.4312796208530806,False
London School of Economics and Political Science,Russell Group,2016,1241,56.7,1.204211120064464,0.14101531023368252,0.6728444802578566,0.41337630942788073,False
London School of Economics and Political Science,Russell Group,2017,1347,61.3,1.3502665181885671,0.1432813659985152,0.7498144023756496,0.4491462509279881,False
London School of Economics and Political Science,Russell Group,2018,1389,57.0,1.3743729301655867,0.14326853851691865,0.7710583153347732,0.4845212383009359,False
London School of Economics and Political Science,Russell Group,2019,1310,58.3,1.284563358778626,0.13816793893129772,0.6770992366412214,0.47022900763358777,False
London School of Economics and Political Science,Russell Group,2020,1533,54.5,1.1818708414872798,0.13829093281148075,0.7045009784735812,0.4964122635355512,False
London School of Economics and Political Science,Russell Group,2021,1753,54.4,1.2167073588134625,0.13405590416428978,0.7672561323445521,0.5596120935539076,False
London School of Economics and Political Science,Russell Group,2022,1644,56.0,1.2023120437956205,0.11861313868613138,0.8132603406326034,0.5894160583941606,False
London School of Economics and Political Science,Russell Group,2023,1620,55.6,1.3163666666666667,0.1425925925925926,0.8734567901234568,0.5753086419753086,False
London School of Economics and Political Science,Russell Group,2024,1579,55.7,1.08977707409753,0.1260291323622546,0.8708043065231159,0.5535148828372387,False
Newcastle University,Russell Group,2015,2991,50.3,0.9794366432631226,0.10297559344700769,0.555667001003009,0.5142092945503176,False
Newcastle University,Russell Group,2016,3289,49.4,0.9290519914867741,0.09486166007905138,0.6150805716023108,0.5503192459714199,False
Newcastle University,Russell Group,2017,3588,53.0,1.0396304347826086,0.10395763656633222,0.6438127090301003,0.5657748049052397,False
Newcastle University,Russell Group,2018,3695,51.9,1.105330446549391,0.09905277401894452,0.6335588633288227,0.5745602165087956,False
Newcastle University,Russell Group,2019,3639,50.2,0.9906672162682055,0.10634789777411377,0.6570486397361912,0.5836768342951361,False
Newcastle University,Russell Group,2020,4039,50.8,1.0022153998514483,0.09482545184451598,0.7108195097796485,0.6026244119831642,False
Newcastle University,Russell Group,2021,4051,51.2,1.0344709948160948,0.10170328313996545,0.7798074549493952,0.6025672673413972,False
Newcastle University,Russell Group,2022,3992,51.5,1.0147805611222445,0.10195390781563127,0.813376753507014,0.6082164328657315,False
Newcastle University,Russell Group,2023,4035,51.0,1.1482567534076829,0.10483271375464684,0.8332094175960347,0.6059479553903345,False
Newcastle University,Russell Group,2024,4210,51.9,1.1234574821852732,0.10997624703087885,0.8175771971496437,0.6178147268408551,False
Queen Mary University of London,Russell Group,2015,2667,53.5,1.1173284589426322,0.12185976752905887,0.6149231346081739,0.5725534308211474,False
