field,uea_count,uea_share,rg_share,specialisation_index
Environmental Science,2160,0.12306991054640762,0.04789816848920247,2.5694074414171153
Agricultural and Biological Sciences,870,0.049569825081191954,0.019987975547219688,2.4799822755480148
Nursing,145,0.008261637513531992,0.004316411389267946,1.9140060500426832
Earth and Planetary Sciences,889,0.05065238447951684,0.02883344450087812,1.7567233244704503
"Business, Management and Accounting",522,0.02974189504871517,0.018853607641799813,1.5775174499110312
Arts and Humanities,790,0.04501168024613982,0.03007566532245727,1.4966146139593441
"Economics, Econometrics and Finance",577,0.03287561962281352,0.02222382004320236,1.479296518731002
Health Professions,586,0.03338841091675688,0.025781436447860382,1.2950562698195898
Social Sciences,2136,0.12170246709589197,0.09455641089972279,1.2870884791191748
Psychology,890,0.050709361289954985,0.04081582699474351,1.2423945568096812
unclassified,25,0.0014244202609537918,0.0011481363628019117,1.2406368329608837
Energy,126,0.0071790781152071105,0.005892134845211942,1.2184171448555632
"Pharmacology, Toxicology and Pharmaceutics",50,0.0028488405219075836,0.00244084152811519,1.1671550525066037
Decision Sciences,163,0.009287220101418723,0.008319207915945098,1.1163586960746916
"Biochemistry, Genetics and Molecular Biology",1343,0.0765198564184377,0.07541672531009626,1.0146271414438326
Chemistry,249,0.014187225799099767,0.015123120605567352,0.9381149677452781
Neuroscience,477,0.027177938578998348,0.03226179038900481,0.8424187948434784
Medicine,3679,0.20961768560196,0.26360323589345047,0.7952014886747761
Mathematics,172,0.009800011395362088,0.013772281953529926,0.7115749901453535
Computer Science,321,0.018289556150646688,0.029466028626152725,0.6206997346908738
Immunology and Microbiology,152,0.008660475186599055,0.015383956381527014,0.5629550014194342
Materials Science,289,0.016466298216625833,0.029732983716504402,0.5538057792526755
Chemical Engineering,28,0.0015953506922682468,0.0029632779943335147,0.5383736170953022
Engineering,638,0.036351205059540766,0.09766731735376369,0.37219415915635307
Physics and Astronomy,263,0.01498490114523389,0.06667604961540109,0.22474188605457843
Veterinary,5,0.00028488405219075834,0.0026397192458556943,0.10792210294258396
Dentistry,6,0.00034186086262891,0.004150424986384525,0.0823676765031015
