publication_year,records,open_access_share,international_share
2015,93207,0.5991824648363321,0.5271599772549272
2016,97345,0.6693512763881042,0.5408392829626586
2017,100922,0.7057925922990032,0.562166821902063
2018,103881,0.7193808299881596,0.5828014747643939
2019,108202,0.7146633149109998,0.5954418587456793
2020,117849,0.747151015282268,0.6196997853185008
2021,120564,0.767932384459706,0.624854848876945
2022,114923,0.7945058865501249,0.6311095255083838
2023,116819,0.8298821253391999,0.6372251089291981
2024,119113,0.8207920210220547,0.6453115948720962
